ID,Prediction
871,6232.773910141714
872,2223.8491531032787
873,14233.741615049248
874,2215.408248518611
875,2206.967343933944
876,6258.096623895715
877,6232.773910141714
878,2228.069605395612
879,2194.305987056943
880,14292.82794714192
881,10258.580476349482
882,2219.628700810945
883,6236.994362434047
884,6245.4352670187145
885,6262.317076188048
886,6249.6557193110475
887,6232.773910141714
888,6262.317076188048
889,6232.773910141714
890,2215.408248518611
891,6224.333005557046
892,10271.241833226482
893,10250.139571764816
894,6236.994362434047
895,10254.360024057149
896,10250.139571764816
897,10288.123642395818
898,14229.521162756915
899,6220.112553264712
900,2228.069605395612
901,2228.069605395612
902,6258.096623895715
903,6228.55345784938
904,2232.2900576879456
905,14275.946137972584
906,6249.6557193110475
907,10245.91911947248
908,6236.994362434047
909,2228.069605395612
910,2232.2900576879456
911,18305.973156472686
912,2211.1877962262774
913,2219.628700810945
914,10241.698667180148
915,6253.876171603381
916,6245.4352670187145
917,2223.8491531032787
918,6241.214814726381
919,2232.2900576879456
920,2232.2900576879456
921,2223.8491531032787
922,2232.2900576879456
923,6258.096623895715
924,6245.4352670187145
925,14271.72568568025
926,2206.967343933944
927,6220.112553264712
928,10212.155501133811
929,2232.2900576879456
930,2206.967343933944
931,6199.010291803044
932,10258.580476349482
933,10245.91911947248
934,2232.2900576879456
935,2232.2900576879456
936,2236.5105099802795
937,10271.241833226482
938,10271.241833226482
939,6232.773910141714
940,2232.2900576879456
941,2215.408248518611
942,10258.580476349482
943,10199.49414425681
944,6249.6557193110475
945,2236.5105099802795
946,6236.994362434047
947,2232.2900576879456
948,2223.8491531032787
949,2206.967343933944
950,6241.214814726381
951,2211.1877962262774
952,6232.773910141714
953,6245.4352670187145
954,2215.408248518611
955,6241.214814726381
956,10267.02138093415
957,10262.800928641816
958,2202.74689164161
959,10279.68273781115
960,18208.902753749015
961,2211.1877962262774
962,6224.333005557046
963,6245.4352670187145
964,6228.55345784938
965,2228.069605395612
966,18225.784562918347
967,2215.408248518611
968,10245.91911947248
969,14305.48930401892
970,2223.8491531032787
971,6232.773910141714
972,6224.333005557046
